transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0xe9bfa683b8c209ea2e2208fd6d47c4d981c990c6257966dd4fcad8acc6292e25,38827536,0,0,0,1,0,0,,,,1
0xfb14cadb6aed63d2666c91289f0b9ab601dc69ce7435ec2fdbed039d0b262375,38827745,0,0,0,1,0,1,38827746,0x835f827345189af737ca7eca0c85cc4c3bda77929205c12a235fc98f492af4f5,0.000001240463218212,1
0x8f0b3d124a025b66da0c8e9202723786a3d9cb5d75227a3de4497342752898b3,38828210,1,1,1,0,1,1,38828212,0x5e632c1766a7b030155b2355bb69f82037071eb4743e00bba19cc551b672e525,0.000001239721483078,2
0xf47f9eacfc55813a44535672c34d8833da9f149225f1e3bab928b6829699ffad,38828631,0,0,0,1,0,1,38828632,0x55c3bf225422aea056951a5511a07b882ce203f4412ab2cbd16a70b0bf0fa993,0.000001239743496759,1
0xa5941d76fafc909b81b4ab6378413310c7c452c0278ab9c80ea23ffdadcf292b,38829246,1,1,1,0,0,0,,,,1
0x774d211fc69cc273ed5e5b78fce6dc6a94d752e23f85bd11c7b01f78833892aa,38829456,0,0,0,1,0,0,,,,1
0x425da7205afc6abce04b6821516b80a6bba5ed8a458ee478effa9f7386cb4b82,38829877,1,1,1,0,1,0,,,,2
0xd207efc2194b8aa312151e73db5488066753f7c818578d0079cbedabdcd54715,38830042,1,1,1,0,1,0,,,,2
0x9e9447b1b6fb5a46601a5fc3076cc6a1f3adb6eadf44b2229635700bd3eb79ec,38830252,0,0,0,1,0,0,,,,1
0xfb1c492c2bab1e532dbe9a94e40aafc8c72bc816faf91c7ee0e95628657756cd,38830417,0,0,0,0,0,0,,,,0
0x0c70021020deebbe91b7d9a2201a139e62cbd876b096cd79118acaa29a740431,38831032,0,0,0,0,0,0,,,,0
